epoch,train_or_val,batch,anatomy_axis,loss,time
0,train,101,"['Anorectum_axis2', 'Bladder_axis0', 'Uterus_axis2']",0.21281465888023376,0.01770639419555664
0,train,102,"['CTVn_axis2', 'CTVp_axis2', 'CTVn_axis1']",0.22657625377178192,0.022634029388427734
0,train,103,"['CTVp_axis2', 'Uterus_axis1', 'Bladder_axis1']",0.27009332180023193,0.021656513214111328
0,train,104,"['CTVn_axis0', 'CTVn_axis0', 'Uterus_axis2']",0.13526351749897003,0.021242380142211914
0,train,105,"['Uterus_axis0', 'Vagina_axis0', 'CTVn_axis2']",0.18531231582164764,0.026014089584350586
0,train,106,"['Vagina_axis2', 'CTVp_axis2', 'Bladder_axis2']",0.23238405585289001,0.026714563369750977
0,train,107,"['CTVp_axis1', 'Anorectum_axis2', 'Uterus_axis1']",0.15480831265449524,0.021039247512817383
0,train,108,"['CTVn_axis0', 'Parametrium_axis2', 'Anorectum_axis2']",0.2682337164878845,0.025191783905029297
0,train,109,"['Vagina_axis1', 'Uterus_axis2', 'Parametrium_axis2']",0.2310900241136551,0.022423267364501953
0,train,110,"['Vagina_axis0', 'CTVn_axis1', 'Parametrium_axis2']",0.37161514163017273,0.02666640281677246
0,train,111,"['Vagina_axis2', 'Parametrium_axis0', 'Vagina_axis1']",0.3975874185562134,0.01721954345703125
0,train,112,"['Parametrium_axis0', 'CTVn_axis2', 'Anorectum_axis2']",0.2450767457485199,0.020090341567993164
0,train,113,"['CTVp_axis0', 'Anorectum_axis0', 'Anorectum_axis1']",0.3911491930484772,0.015787601470947266
0,train,114,"['CTVn_axis1', 'CTVp_axis0', 'CTVn_axis0']",0.134344682097435,0.017977476119995117
0,train,115,"['Vagina_axis0', 'Bladder_axis2', 'Uterus_axis1']",0.14995059370994568,0.022443771362304688
0,train,116,"['CTVn_axis0', 'CTVn_axis0', 'Vagina_axis0']",0.16936415433883667,0.022321701049804688
0,train,117,"['Bladder_axis1', 'Uterus_axis2', 'Vagina_axis1']",0.3451397716999054,0.019826889038085938
0,train,118,"['Bladder_axis0', 'Uterus_axis1', 'CTVp_axis2']",0.11948420852422714,0.023906469345092773
0,train,119,"['Parametrium_axis1', 'CTVp_axis2', 'Parametrium_axis0']",0.4451761245727539,0.02430558204650879
0,train,120,"['Anorectum_axis0', 'Vagina_axis0', 'Anorectum_axis0']",0.2637505531311035,0.022994279861450195
0,train,121,"['Anorectum_axis1', 'Parametrium_axis0', 'CTVp_axis2']",0.19720439612865448,0.022563457489013672
0,train,122,"['Bladder_axis0', 'CTVp_axis0', 'Anorectum_axis1']",0.12459801882505417,0.015811681747436523
0,train,123,"['Bladder_axis1', 'Uterus_axis0', 'Parametrium_axis2']",0.2765541672706604,0.025002241134643555
0,train,124,"['CTVn_axis0', 'CTVn_axis0', 'Uterus_axis0']",0.16398191452026367,0.015599250793457031
0,train,125,"['CTVn_axis0', 'Vagina_axis0', 'Uterus_axis1']",0.2980272173881531,0.01653313636779785
0,train,126,"['Anorectum_axis2', 'Parametrium_axis0', 'CTVp_axis0']",0.21651139855384827,0.019729137420654297
0,train,127,"['Bladder_axis2', 'Bladder_axis1', 'CTVn_axis0']",0.23209737241268158,0.02140951156616211
0,train,128,"['Bladder_axis0', 'Vagina_axis2', 'CTVn_axis1']",0.29815685749053955,0.03418421745300293
0,train,129,"['Uterus_axis1', 'CTVp_axis1', 'Bladder_axis0']",0.20122037827968597,0.02425384521484375
0,train,130,"['CTVn_axis2', 'CTVp_axis2', 'Bladder_axis1']",0.19753286242485046,0.0298459529876709
0,train,131,"['CTVp_axis2', 'Vagina_axis2', 'Anorectum_axis1']",0.26600730419158936,0.02311110496520996
0,train,132,"['CTVp_axis2', 'CTVn_axis0', 'Parametrium_axis1']",0.1923896074295044,0.017726421356201172
0,train,133,"['Parametrium_axis1', 'Parametrium_axis2', 'Anorectum_axis0']",0.19503797590732574,0.024457454681396484
0,train,134,"['Vagina_axis2', 'Bladder_axis1', 'CTVn_axis1']",0.4867713749408722,0.026334762573242188
0,train,135,"['Vagina_axis0', 'Bladder_axis0', 'CTVn_axis1']",0.40443089604377747,0.01832127571105957
0,train,136,"['CTVn_axis0', 'CTVp_axis0', 'Vagina_axis2']",0.42634618282318115,0.0225064754486084
0,train,137,"['Vagina_axis0', 'Parametrium_axis0', 'Anorectum_axis2']",0.3127273917198181,0.022946834564208984
0,train,138,"['CTVn_axis1', 'Bladder_axis0', 'Anorectum_axis0']",0.37900757789611816,0.021213531494140625
0,train,139,"['CTVp_axis0', 'CTVn_axis0', 'Vagina_axis2']",0.31640684604644775,0.021083831787109375
0,train,140,"['Bladder_axis1', 'CTVn_axis2', 'Vagina_axis2']",0.31919312477111816,0.019906997680664062
0,train,141,"['Uterus_axis2', 'Anorectum_axis2', 'Parametrium_axis0']",0.13939133286476135,0.02461075782775879
0,train,142,"['Parametrium_axis0', 'CTVn_axis0', 'CTVn_axis2']",0.19514641165733337,0.019190073013305664
0,train,143,"['CTVp_axis2', 'Parametrium_axis0', 'Bladder_axis0']",0.2560385465621948,0.022672414779663086
0,train,144,"['Uterus_axis1', 'Anorectum_axis1', 'CTVn_axis0']",0.31751009821891785,0.020817041397094727
0,train,145,"['Parametrium_axis0', 'Uterus_axis1', 'Bladder_axis2']",0.20430888235569,0.019801855087280273
0,train,146,"['Anorectum_axis1', 'Anorectum_axis0', 'Anorectum_axis1']",0.5688854455947876,0.02385878562927246
0,train,147,"['Anorectum_axis2', 'Vagina_axis2', 'CTVp_axis2']",0.47045302391052246,0.01940631866455078
0,train,148,"['Anorectum_axis2', 'CTVp_axis2', 'Bladder_axis1']",0.29277274012565613,0.024762630462646484
0,train,149,"['Uterus_axis1', 'Bladder_axis1', 'CTVp_axis1']",0.3762561082839966,0.021125078201293945
0,train,150,"['CTVp_axis1', 'Vagina_axis0', 'Bladder_axis0']",0.3331379294395447,0.022436141967773438
0,train,151,"['CTVp_axis1', 'Anorectum_axis0', 'Bladder_axis1']",0.18432705104351044,0.024382591247558594
0,train,152,"['Vagina_axis0', 'Vagina_axis0', 'Vagina_axis2']",0.25513756275177,0.026696205139160156
0,train,153,"['CTVp_axis2', 'Uterus_axis0', 'Bladder_axis0']",0.09530580788850784,0.023592233657836914
0,train,154,"['CTVp_axis0', 'Parametrium_axis1', 'Bladder_axis1']",0.11417799443006516,0.02578139305114746
0,train,155,"['CTVn_axis2', 'Anorectum_axis1', 'Uterus_axis1']",0.20107997953891754,0.022616147994995117
0,train,156,"['Bladder_axis0', 'CTVp_axis1', 'Parametrium_axis0']",0.20948302745819092,0.021109819412231445
0,train,157,"['Anorectum_axis1', 'CTVn_axis2', 'Uterus_axis2']",0.3005348742008209,0.022470712661743164
0,train,158,"['Bladder_axis0', 'Anorectum_axis0', 'Vagina_axis0']",0.2438172996044159,0.015432119369506836
0,train,159,"['Bladder_axis2', 'Parametrium_axis2', 'CTVp_axis0']",0.34021955728530884,0.021578311920166016
0,train,160,"['Parametrium_axis0', 'Vagina_axis1', 'CTVn_axis1']",0.29568052291870117,0.024410486221313477
0,train,161,"['Uterus_axis1', 'CTVn_axis2', 'Parametrium_axis2']",0.28274470567703247,0.02168107032775879
0,train,162,"['Parametrium_axis1', 'Bladder_axis0', 'Uterus_axis2']",0.3383638858795166,0.022739887237548828
0,train,163,"['Anorectum_axis0', 'Uterus_axis0', 'Vagina_axis0']",0.3481912314891815,0.02486705780029297
0,train,164,"['CTVn_axis2', 'CTVn_axis0', 'CTVp_axis1']",0.24988849461078644,0.02474689483642578
0,train,165,"['Bladder_axis2', 'Vagina_axis1', 'Uterus_axis2']",0.1685243844985962,0.0231473445892334
0,train,166,"['Parametrium_axis0', 'Anorectum_axis0', 'Uterus_axis1']",0.09661011397838593,0.0221710205078125
0,train,167,"['Bladder_axis2', 'Uterus_axis1', 'Uterus_axis2']",0.1039385199546814,0.0268251895904541
0,train,168,"['Anorectum_axis2', 'Uterus_axis0', 'Parametrium_axis1']",0.6447151899337769,0.016063928604125977
0,train,169,"['Anorectum_axis2', 'CTVp_axis0', 'Anorectum_axis0']",0.33250901103019714,0.018886089324951172
0,train,170,"['Parametrium_axis0', 'Vagina_axis1', 'CTVp_axis0']",0.32097944617271423,0.02120065689086914
